Date,Open,High,Low,Close,Adj Close,Volume
1/1/2021,2121.050049,2190.909912,2068.320068,2101.360107,2101.360107,1283700
2/1/2021,2101.639893,2246.860107,2101.639893,2159.320068,2159.320068,0
3/1/2021,2161.870117,2252.389893,2099.810059,2238.169922,2238.169922,0
4/1/2021,2242.23999,2380.419922,2242.23999,2356.669922,2356.669922,0
5/1/2021,2356.969971,2380.26001,2277.110107,2364.530029,2364.530029,0
6/1/2021,2365.169922,2425.100098,2342.709961,2421.139893,2421.139893,0
7/1/2021,2420.73999,2490.27002,2376.310059,2469.169922,2469.169922,0
8/1/2021,2470.280029,2546.800049,2448.639893,2537.310059,2537.310059,0
9/1/2021,2537.580078,2551.47998,2417.719971,2418.159912,2418.159912,0
10/1/2021,2418.909912,2585.379883,2400.909912,2583.830078,2583.830078,0
11/1/2021,2583.469971,2650.129883,2542.699951,2545.780029,2545.780029,0
12/1/2021,2547.719971,2669.600098,2499.560059,2645.909912,2645.909912,0
1/1/2022,2645.679932,2672,2330.649902,2494.639893,2494.639893,0
2/1/2022,2494.639893,2542.169922,2277.899902,2422.790039,2422.790039,0
3/1/2022,2422.060059,2562.949951,2292.699951,2501.290039,2501.290039,0
4/1/2022,2501.25,2535.72998,2352.340088,2354.330078,2354.330078,0
4/22/2022,2417.321777,2417.321777,2352.336914,2354.333984,2354.333984,0
